Job Code,Job Code Desc,Standard Labour Hrs,Billing Hrs,Type,Parent Product Line,Status,Aggregate,Job Code Type
11000,COMPRESSION CHECK,0.5,1.5,Labour,Adventure,Active,Engine,Major
11000,COMPRESSION CHECK,1.5,1.5,Labour,Aria,Active,0,0
11000,COMPRESSION CHECK,1.5,1.5,Labour,Aria,Active,0,0
11000,COMPRESSION CHECK,1.5,1.5,Labour,Estate,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Fiat500,Active,,
11000,COMPRESSION CHECK,1.2,1.2,Labour,Grande Punto,Active,,
11000,COMPRESSION CHECK,1.5,1.4,Labour,Indica,Active,,
11000,COMPRESSION CHECK,1.5,1.4,Labour,Indica Vista,Active,Engine and Accessories,Major Repair
11000,COMPRESSION CHECK,1.5,1.4,Labour,Indigo,Active,,
11000,COMPRESSION CHECK,1.5,1.4,Labour,Indigo Manza,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Linea,Active,0,0
11000,COMPRESSION CHECK,1.5,1.5,Labour,Linea,Active,Engine,Major
11000,COMPRESSION CHECK,1.5,1.4,Labour,Marina,Active,,
11000,COMPRESSION CHECK,0.75,0.8,Labour,Nano,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Palio,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Palio,Active,Engine,Major
11000,COMPRESSION CHECK,1.5,1.5,Labour,Palio Stile,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Petra,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Safari,Active,,
11000,COMPRESSION CHECK,1.5,,Labour,ScPass-Winger,Active,0,0
11000,COMPRESSION CHECK,1.5,1.5,Labour,Siena,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Spacio,Active,,
11000,COMPRESSION CHECK,1.5,,Labour,Spacio,Active,Engine,Major
11000,COMPRESSION CHECK,1.5,1.5,Labour,Sumo,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Sumo Grande,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Uno,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Venture,Active,0,0
11000,COMPRESSION CHECK,1.5,,Labour,Venture,Active,Engine and Accessories,Minor Repair
11000,COMPRESSION CHECK,1.5,1.5,Labour,Week End,Active,,
11000,COMPRESSION CHECK,1.5,1.5,Labour,Winger_Platinum,Active,0,0
11000,COMPRESSION CHECK,1.5,,Labour,Winger_Platinum,Active,Engine and Accessories,0
11000,COMPRESSION CHECK,1.5,1.5,Labour,Xenon XT,Active,,
11001,OVERHAULING OF ENGINE (ALL PARTS RENEW INCL OF LINER FITMENT,14,14,Labour,Adventure,Active,,
11001,OVERHAULING OF ENGINE (ALL PARTS RENEW INCL OF LINER FITMENT,17.3,17.3,Labour,Grande Punto,Active,,
11001,OVERHAULING OF ENGINE (ALL PARTS RENEW INCL OF LINER FITMENT,14,14,Labour,Indigo Manza,Active,,
11001,OVERHAULING OF ENGINE (ALL PARTS RENEW INCL OF LINER FITMENT,14,14,Labour,Linea,Active,0,0
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,12,12,Labour,Adventure,Active,,
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,12,12,Labour,Adventure,Active,,
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,12,12,Labour,Fiat500,Active,,
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,4.7,4.7,Labour,Grande Punto,Active,,
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,12,12,Labour,Indigo Manza,Active,,
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,12,12,Labour,Linea,Active,0,0
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,12,12,Labour,Linea,Active,0,0
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,12,12,Labour,Palio,Active,,
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,12,12,Labour,Palio,Active,,
11002,REMOVAL /REFITMENT BARE ENGINE DIESEL,12,12,Labour,Palio Stile,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,12,12,Labour,Adventure,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,12,Labour,Adventure,Active,Engine,Major
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Fiat500,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,5.05,5.05,Labour,Grande Punto,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Indica,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Indigo,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Indigo Manza,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Linea,Active,0,0
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Linea,Active,Engine,Major
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,12,12,Labour,Marina,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Palio,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Palio,Active,Engine,Major
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Palio Stile,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Petra,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Siena,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,11,11,Labour,Uno,Active,,
11003,REMOVAL /REFITMENT BARE ENGINE PETROL,12,12,Labour,Week End,Active,,
12000,ENGINE REMOVE AND INSTALL,7,7,Labour,Adventure,Active,,
12000,ENGINE REMOVE AND INSTALL,7,7,Labour,Adventure,Active,Engine,Major
12000,ENGINE REMOVE AND INSTALL,8,8,Labour,Aria,Active,0,0
12000,ENGINE REMOVE & INSTALL,8,8,Labour,Estate,Active,,
12000,ENGINE REMOVE AND INSTALL,6.6,6.6,Labour,Fiat500,Active,,
12000,ENGINE REMOVE AND INSTALL,6.6,6,Labour,Indica,Active,,
12000,ENGINE REMOVE AND INSTALL,6.6,6.8,Labour,Indica Vista,Active,Engine and Accessories,Major Repair
12000,ENGINE REMOVE AND INSTALL,7,6,Labour,Indigo,Active,,
12000,ENGINE REMOVE AND INSTALL,6.6,6.8,Labour,Indigo Manza,Active,Engine and Accessories,Major Repair
12000,ENGINE REMOVE AND INSTALL,7,7,Labour,Indigo Manza,Active,,
12000,ENGINE REMOVE AND INSTALL,7,7,Labour,Linea,Active,0,0
12000,ENGINE REMOVE & INSTALL,7,7,Labour,Linea,Active,Engine,Major
12000,ENGINE REMOVE AND INSTALL,7,6,Labour,Marina,Active,,
12000,ENGINE REMOVE AND INSTALL,6.6,6.6,Labour,Nano,Active,,
12000,ENGINE REMOVE AND INSTALL,6.6,6.6,Labour,Palio,Active,,
12000,ENGINE REMOVE AND INSTALL,6.6,6.6,Labour,Palio,Active,Engine,Major
12000,ENGINE REMOVE AND INSTALL,6.6,6.6,Labour,Palio Stile,Active,,
12000,ENGINE REMOVE AND INSTALL,7,7,Labour,Petra,Active,,
12000,ENGINE REMOVE AND INSTALL,8,8,Labour,Safari,Active,,
12000,ENGINE REMOVE AND INSTALL,8,,Labour,ScPass-Winger,Active,0,0
12000,ENGINE REMOVE AND INSTALL,7,7,Labour,Siena,Active,,
12000,ENGINE REMOVE AND INSTALL,8,7.2,Labour,Spacio,Active,,
12000,ENGINE REMOVE AND INSTALL,8,7.2,Labour,Sumo,Active,,
12000,ENGINE REMOVE AND INSTALL,8,8,Labour,Sumo Grande,Active,,
12000,ENGINE REMOVE AND INSTALL,6.6,6.6,Labour,Uno,Active,,
12000,ENGINE REMOVE & RE-INSTALL ON VEHICLE.,12,12,Labour,Venture,Active,0,0
12000,ENGINE REMOVE & RE-INSTALL ON VEHICLE.,12,,Labour,Venture,Active,Engine and Accessories,Major Repair
12000,ENGINE REMOVE AND INSTALL,7,7,Labour,Week End,Active,,
12000,ENGINE REMOVE & RE-INSTALL ON VEHICLE.,12,12,Labour,Winger_Platinum,Active,0,0
12000,ENGINE REMOVE & RE-INSTALL ON VEHICLE.,12,,Labour,Winger_Platinum,Active,Engine and Accessories,0
12000,ENGINE REMOVE AND INSTALL,8,8,Labour,Xenon XT,Active,,
12100,ENGINE EXCHANGE,1.5,1.5,Labour,Aria,Active,0,0
12100,ENGINE EXCHANGE,1.5,1.5,Labour,Aria,Active,0,0
12100,ENGINE EXCHANGE,2,2,Labour,Grande Punto,Active,,
12100,ENGINE EXCHANGE,1.5,1.5,Labour,Safari,Active,Engine,Major
12100,ENGINE EXCHANGE,1.5,,Labour,ScPass-Winger,Active,Engine,Major
12100,ENGINE EXCHANGE,1.5,1.5,Labour,Spacio,Active,Engine,Major
12100,ENGINE EXCHANGE,1.5,1.5,Labour,Sumo,Active,Engine,Major
12100,ENGINE EXCHANGE,1.5,1.5,Labour,Sumo Grande,Active,Engine,Major
12100,ENGINE EXCHANGE,1.5,1.5,Labour,Xenon XT,Active,Engine,
12301,R/R TURBOCHARGER,1,1,Labour,Adventure,Active,,
12301,R/R TURBOCHARGER,1.75,1.75,Labour,Grande Punto,Active,,
12301,R/R TURBOCHARGER,1,1,Labour,Indigo Manza,Active,,
12301,R/R TURBOCHARGER,1,1,Labour,Linea,Active,0,0
12302,R/R OIL SEPERATOR,0.3,0.5,Labour,Adventure,Active,,
12302,R/R OIL SEPERATOR,0.3,0.3,Labour,Grande Punto,Active,,
12302,R/R OIL SEPERATOR,0.3,0.3,Labour,Indigo Manza,Active,,
12302,R/R OIL SEPERATOR,0.3,0.5,Labour,Linea,Active,0,0
12303,R/R TURBOCHARGER OIL INLET PIPE,0.2,0.5,Labour,Adventure,Active,,
12303,R/R TURBOCHARGER OIL INLET PIPE,0.2,0.5,Labour,Adventure,Active,Engine,Minor
12303,R/R TURBOCHARGER OIL INLET PIPE,0.4,0.4,Labour,Grande Punto,Active,,
12303,R/R TURBOCHARGER OIL INLET PIPE,0.2,0.2,Labour,Indigo,Active,,
12303,R/R TURBOCHARGER OIL INLET PIPE,0.2,0.2,Labour,Indigo Manza,Active,,
12303,R/R TURBOCHARGER OIL INLET PIPE,0.2,0.2,Labour,Linea,Active,0,0
12303,R/R TURBOCHARGER OIL INLET PIPE,0.4,0.2,Labour,Linea,Active,Engine,Minor
12303,R/R TURBOCHARGER OIL INLET PIPE,0.2,0.2,Labour,Marina,Active,,
12303,R/R TURBOCHARGER OIL INLET PIPE,0.2,0.2,Labour,Petra,Active,,
12303,R/R TURBOCHARGER OIL INLET PIPE,0.2,0.2,Labour,Siena,Active,,
12303,R/R TURBOCHARGER OIL INLET PIPE,0.2,0.2,Labour,Week End,Active,,
12304,R/R TURBOCHARGER OIL RETURN PIPE,0.2,0.5,Labour,Adventure,Active,,
12304,R/R TURBOCHARGER OIL RETURN PIPE,0.2,0.5,Labour,Adventure,Active,Engine,Minor
12304,R/R TURBOCHARGER OIL RETURN PIPE,0.45,0.45,Labour,Grande Punto,Active,,
12304,R/R TURBOCHARGER OIL RETURN PIPE,0.2,0.2,Labour,Indigo,Active,,
